Timestep,SC,FC,,SC,FC
0,4123.954753,2580.824444,min,3822.910464,-392.8708972
1,4248.318793,2562.233509,max,4925.982466,2580.824444
2,4345.255824,2547.726953,med,4435.119217,1798.209775
3,4374.995785,2536.063782,,,
4,4344.621437,2472.698621,,,
5,4240.284079,2400.596472,,,
6,4067.992466,2330.980202,,,
7,3979.825618,2235.436686,,,
8,3995.369464,2131.21104,,,
9,4017.532432,1984.202171,,,
10,4027.531428,1844.438744,,,
11,4045.766938,1616.727086,,,
12,4111.398657,1370.040747,,,
13,4244.05118,984.9061497,,,
14,4384.811881,455.2508973,,,
15,4486.053037,20.07078153,,,
16,4563.992623,-290.7207821,,,
17,4646.546164,-392.8708972,,,
18,4702.428342,-366.0655204,,,
19,4740.663969,-123.9193512,,,
20,4774.650531,369.1415524,,,
21,4812.966238,890.7784551,,,
22,4852.950644,1389.202831,,,
23,4887.558114,1687.170674,,,
24,4909.843819,1869.312194,,,
25,4925.982466,1922.950586,,,
26,4920.499764,1905.3324,,,
27,4901.098455,1850.171174,,,
28,4870.855568,1799.341443,,,
29,4847.9042,1774.25758,,,
30,4831.831757,1707.469383,,,
31,4825.776093,1573.556636,,,
32,4825.851881,1543.034934,,,
33,4792.421682,1349.497192,,,
34,4672.907749,1315.799969,,,
35,4482.087899,1289.014762,,,
36,4176.475454,1328.723751,,,
37,3911.664258,1477.3571,,,
38,3822.910464,1635.879074,,,
39,3867.721867,1797.078107,,,
40,4002.856284,1981.947313,,,
41,4114.792987,2093.338207,,,
42,4194.518576,2195.066697,,,
43,4315.136669,2261.589858,,,
44,4406.934907,2303.861844,,,
45,4463.303526,2338.798841,,,
46,4509.02516,2369.764326,,,
47,4539.437159,2390.400596,,,
